ID | Map evaluation | API evaluation | url_start_via_end |	url_start_via | url_via_end+ 
312764 | |  No Routing | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.75,-102.5&loc=44.7990627,-93.4542118&loc=43.0006,-87.9667","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.75,-102.5&loc=44.7990627,-93.4542118","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=44.7990627,-93.4542118&loc=43.0006,-87.9667","url_via_end")
312765 | |  No Routing | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.75,-102.5&loc=44.79729,-93.44983&loc=43.0006,-87.9667","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.75,-102.5&loc=44.79729,-93.44983","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=44.79729,-93.44983&loc=43.0006,-87.9667","url_via_end")
312766 | |  No Routing | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.75,-102.5&loc=44.79729,-93.44983&loc=43.0006,-87.9667","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.75,-102.5&loc=44.79729,-93.44983","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=44.79729,-93.44983&loc=43.0006,-87.9667","url_via_end")
312767 | |  No Routing | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.75,-102.5&loc=44.7990627,-93.4542118&loc=43.0006,-87.9667","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=43.75,-102.5&loc=44.7990627,-93.4542118","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=44.7990627,-93.4542118&loc=43.0006,-87.9667","url_via_end")
313578 | No Routing|  No Routing | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=39.73338,-105.2385&loc=0.0,0.0&loc=40.45552,-109.5287","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=39.73338,-105.2385&loc=0.0,0.0","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=0.0,0.0&loc=40.45552,-109.5287","url_via_end")
312551 | |  |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=32.57562,-97.13786&loc=45.49844,-115.4716","url_start_via")|-- 
313769 | |  No Routing |-- | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=45.5801,-122.7282&loc=53.2286,-4.121614","url_start_via")|-- 
314260 | |  | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=47.48123,-120.804&loc=48.23417,-121.1735&loc=48.05291,-121.5199","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=47.48123,-120.804&loc=48.23417,-121.1735","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=48.23417,-121.1735&loc=48.05291,-121.5199","url_via_end")
314552 | |  | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=48.05291,-121.5199&loc=48.23417,-121.1735&loc=48.53606,-123.0143","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=48.05291,-121.5199&loc=48.23417,-121.1735","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=48.23417,-121.1735&loc=48.53606,-123.0143","url_via_end")
314271 | |  | =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=48.05291,-121.5199&loc=48.23417,-121.1735&loc=48.53606,-123.0143","url_start_via_end")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=48.05291,-121.5199&loc=48.23417,-121.1735","url_start_via")| =HYPERLINK("http://map.project-osrm.org/?hl=en&loc=48.23417,-121.1735&loc=48.53606,-123.0143","url_via_end")
